sku,name,brand_id
68017295,PrimeTaper Drill Sleeve 2½ XND GS,33effb38-a665-4645-aa81-fadee5e6c486
68017296,PrimeTaper Washtray Overlay GS,33effb38-a665-4645-aa81-fadee5e6c486
68017306,PrimeTaper Surgical Tray GS,33effb38-a665-4645-aa81-fadee5e6c486
68017307,PrimeTaper Surgical Tray GS Small,33effb38-a665-4645-aa81-fadee5e6c486
68017155,Guide Fixation Drill GS,33effb38-a665-4645-aa81-fadee5e6c486
68017229,PrimeTaper Drill 2 Ø2.35 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017230,PrimeTaper Drill 2 Ø2.35 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017231,PrimeTaper Drill 2 Ø2.35 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017232,PrimeTaper Drill 3 Ø2.95 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017233,PrimeTaper Drill 3 Ø2.95 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017234,PrimeTaper Drill 3 Ø2.95 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017235,PrimeTaper Drill 4 Ø3.55 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017236,PrimeTaper Drill 4 Ø3.55 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017237,PrimeTaper Drill 4 Ø3.55 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017238,PrimeTaper Drill 5 Ø4.15 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017239,PrimeTaper Drill 5 Ø4.15 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017240,PrimeTaper Drill 5 Ø4.15 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017241,PrimeTaper Drill 6 Ø4.75 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017242,PrimeTaper Drill 2½ Ø2.65 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017243,PrimeTaper Drill 2½ Ø2.65 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017244,PrimeTaper Drill 2½ Ø2.65 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017245,PrimeTaper Drill 3½ Ø3.25 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017246,PrimeTaper Drill 3½ Ø3.25 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017247,PrimeTaper Drill 3½ Ø3.25 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017248,PrimeTaper Drill 4½ Ø3.85 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017249,PrimeTaper Drill 4½ Ø3.85 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017250,PrimeTaper Drill 4½ Ø3.85 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017251,PrimeTaper Drill 5½ Ø4.45 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017252,PrimeTaper Drill 5½ Ø4.45 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017253,PrimeTaper Drill 5½ Ø4.45 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017273,Initial Drill Ø3.0 XND GS,33effb38-a665-4645-aa81-fadee5e6c486
68017274,Initial Drill Ø3.6 ND GS,33effb38-a665-4645-aa81-fadee5e6c486
68017275,Initial Drill Ø4.2 ND GS,33effb38-a665-4645-aa81-fadee5e6c486
68017276,Initial Drill Ø4.8 WD GS,33effb38-a665-4645-aa81-fadee5e6c486
68017287,PrimeTaper Drill 1 Ø1.9 6.5-8 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017288,PrimeTaper Drill 1 Ø1.9 9-11 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017289,PrimeTaper Drill 1 Ø1.9 13-15 GS,33effb38-a665-4645-aa81-fadee5e6c486
68017297,"PrimeTaper Cortical Drill Ø2.95, 9-13 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017298,"PrimeTaper Cortical Drill Ø2.95, 8-11-15 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017299,"PrimeTaper Cortical Drill Ø3.55, 9-13 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017300,"PrimeTaper Cortical Drill Ø3.55, 8-11-15 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017301,"PrimeTaper Cortical Drill Ø4.15, 6.5-9-13 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017302,"PrimeTaper Cortical Drill Ø4.15, 8-11-15 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017303,"PrimeTaper Cortical Drill Ø4.75, 6.5-9-13 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68017304,"PrimeTaper Cortical Drill Ø4.75, 8-11-15 mm GS",33effb38-a665-4645-aa81-fadee5e6c486
68015324,Drill 1 Ø1.9 short,33effb38-a665-4645-aa81-fadee5e6c486
68015325,PrimeTaper Drill 2 Ø2.35 short,33effb38-a665-4645-aa81-fadee5e6c486
68015326,PrimeTaper Drill 3 Ø2.95 short,33effb38-a665-4645-aa81-fadee5e6c486
68015327,PrimeTaper Drill 4 Ø3.55 short,33effb38-a665-4645-aa81-fadee5e6c486
68015328,PrimeTaper Drill 5 Ø4.15 short,33effb38-a665-4645-aa81-fadee5e6c486
68015329,PrimeTaper Drill 6 Ø4.75 short,33effb38-a665-4645-aa81-fadee5e6c486
68015330,PrimeTaper Drill 7 Ø5.35 short,33effb38-a665-4645-aa81-fadee5e6c486
68015331,Drill 1 Ø1.9 long,33effb38-a665-4645-aa81-fadee5e6c486
68015332,PrimeTaper Drill 2 Ø2.35 long,33effb38-a665-4645-aa81-fadee5e6c486
68015333,PrimeTaper Drill 3 Ø2.95 long,33effb38-a665-4645-aa81-fadee5e6c486
68015334,PrimeTaper Drill 4 Ø3.55 long,33effb38-a665-4645-aa81-fadee5e6c486
68015335,PrimeTaper Drill 5 Ø4.15 long,33effb38-a665-4645-aa81-fadee5e6c486
68015336,PrimeTaper Drill 6 Ø4.75 long,33effb38-a665-4645-aa81-fadee5e6c486
68015337,PrimeTaper Drill 2½ Ø2.65 short,33effb38-a665-4645-aa81-fadee5e6c486
68015338,PrimeTaper Drill 3½ Ø3.25 short,33effb38-a665-4645-aa81-fadee5e6c486
68015339,PrimeTaper Drill 4½ Ø3.85 short,33effb38-a665-4645-aa81-fadee5e6c486
68015340,PrimeTaper Drill 5½ Ø4.45 short,33effb38-a665-4645-aa81-fadee5e6c486
68015341,PrimeTaper Drill 6½ Ø5.05 short,33effb38-a665-4645-aa81-fadee5e6c486
68015342,PrimeTaper Drill 2½ Ø2.65 long,33effb38-a665-4645-aa81-fadee5e6c486
68015343,PrimeTaper Drill 3½ Ø3.25 long,33effb38-a665-4645-aa81-fadee5e6c486
68015344,PrimeTaper Drill 4½ Ø3.85 long,33effb38-a665-4645-aa81-fadee5e6c486
68015345,PrimeTaper Drill 5½ Ø4.45 long,33effb38-a665-4645-aa81-fadee5e6c486
68015346,PrimeTaper Drill 6½ Ø5.05 long,33effb38-a665-4645-aa81-fadee5e6c486
68015352,PrimeTaper Direction Indicator,33effb38-a665-4645-aa81-fadee5e6c486
68015321,Tapered Implant EV Surgical Tray,33effb38-a665-4645-aa81-fadee5e6c486
68015347,Taps,33effb38-a665-4645-aa81-fadee5e6c486
68015348,PrimeTaper Tap Ø3.6,33effb38-a665-4645-aa81-fadee5e6c486
68015349,PrimeTaper Tap Ø4.2,33effb38-a665-4645-aa81-fadee5e6c486
68015350,PrimeTaper Tap Ø4.8,33effb38-a665-4645-aa81-fadee5e6c486
68015351,PrimeTaper Tap Ø5.4,33effb38-a665-4645-aa81-fadee5e6c486
68015266,Washtray Sterilization Container,33effb38-a665-4645-aa81-fadee5e6c486
68015267,Washtray Ster Cont Filter 2x,33effb38-a665-4645-aa81-fadee5e6c486
68015271,OmniTaper Washtray,33effb38-a665-4645-aa81-fadee5e6c486
68015272,OmniTaper Washtray Overlay,33effb38-a665-4645-aa81-fadee5e6c486
68015323,PrimeTaper Washtray,33effb38-a665-4645-aa81-fadee5e6c486
68015353,PrimeTaper Washtray Overlay,33effb38-a665-4645-aa81-fadee5e6c486
68015354,OmniTaper Washtray GS,33effb38-a665-4645-aa81-fadee5e6c486
68015355,OmniTaper Washtray Overlay GS,33effb38-a665-4645-aa81-fadee5e6c486
68017076,Guide Fixation screw GS,33effb38-a665-4645-aa81-fadee5e6c486
68017278,Stabilization Abutment EV (XS) 9-13 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017279,Stabilization Abutment EV (XS) 8-11-15 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017280,Stabilization Abutment EV (S) 6-9-13 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017281,Stabilization Abutment EV (S) 8-11-15 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017282,Stabilization Abutment EV (M) 6/6.5-9-13 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017283,Stabilization Abutment EV (M) 8-11-15 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017284,Stabilization Abutment EV (L) 6/6.5-9-13 mm,33effb38-a665-4645-aa81-fadee5e6c486
68017285,Stabilization Abutment EV (L) 8-11-15 mm,33effb38-a665-4645-aa81-fadee5e6c486
68011140,OmniTaper EV Ø3.0 x 11mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011141,OmniTaper EV Ø3.0 x 13mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011142,OmniTaper EV Ø3.0 x 15mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011143,OmniTaper EV Ø3.4 x 9.5mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011144,OmniTaper EV Ø3.4 x 11mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011145,OmniTaper EV Ø3.4 x 13mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011146,OmniTaper EV Ø3.4 x 15mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011147,OmniTaper EV Ø3.4 x 18mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011148,OmniTaper EV Ø3.8 x 8mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011149,OmniTaper EV Ø3.8 x 9.5mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011150,OmniTaper EV Ø3.8 x 11mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011151,OmniTaper EV Ø3.8 x 13mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011152,OmniTaper EV Ø3.8 x 15mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011153,OmniTaper EV Ø3.8 x 18mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011154,OmniTaper EV Ø4.5 x 8mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011155,OmniTaper EV Ø4.5 x 9.5mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011156,OmniTaper EV Ø4.5 x 11mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011157,OmniTaper EV Ø4.5 x 13mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011158,OmniTaper EV Ø4.5 x 15mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011159,OmniTaper EV Ø4.5 x 18mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011160,OmniTaper EV Ø5.5 x 8mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
68011161,OmniTaper EV Ø5.5 x 9.5mm OsseoSpeed,33effb38-a665-4645-aa81-fadee5e6c486
